🕘️更新时间,26/01/10-06:56:07

📺央视频道,#genre#
CCTV-9,http://114.100.195.156:4022/rtp/238.1.78.240:7792
CCTV-9,http://115.171.216.84:4000/rtp/225.1.8.9:8112
CCTV-9,http://27.184.29.38:12312/rtp/239.254.200.59:8112
CCTV-9,http://113.119.24.25:58888/udp/239.77.0.135:5146
CCTV-9,http://115.58.216.71:4000/rtp/225.1.4.77:1106
CCTV-9,http://27.191.200.180:19999/rtp/239.254.200.59:8112
CCTV-9,http://115.171.80.52:1688/rtp/225.1.8.9:8112
CCTV-10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV-10,http://yp.qqqtv.top/1/api.php?id=CCTV-10HD&auth=666858
CCTV-10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-10,http://38.75.136.137:98/gslb/dsdqca/cctv10hd.m3u8?auth=test20251009
CCTV-10,http://114.241.250.59:4022/rtp/239.3.1.63:8116
CCTV-10,http://183.236.43.98:4013/udp/239.77.0.134:5146
CCTV-10,http://115.58.216.71:4000/rtp/225.1.4.78:1107
CCTV-10,http://180.105.201.170:9981/rtp/239.49.8.54:9818
CCTV-10,http://180.105.201.170:9981/rtp/239.49.8.134:6000
CCTV-10,http://113.119.24.25:58888/udp/239.77.0.134:5146
CCTV-11,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV-11,http://38.75.136.137:98/gslb/dsdqca/cctv11hd.m3u8?auth=test20251009
CCTV-11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV-11,http://114.241.250.59:4022/rtp/239.3.1.152:8120
CCTV-11,http://183.236.43.98:4013/udp/239.77.1.238:5146
CCTV-11,http://115.58.216.71:4000/rtp/225.1.4.215:1268
CCTV-11,http://27.191.200.180:19999/rtp/239.254.201.123:8120
CCTV-11,http://113.119.24.25:58888/udp/239.77.1.238:5146
CCTV-11,http://144.255.16.69:6688/udp/239.21.2.2:5002
CCTV-11,http://69.30.246.194/live/cctv11.m3u8
CCTV-12,http://38.75.136.137:98/gslb/dsdqca/cctv12hd.m3u8?auth=test20251009
CCTV-12,http://69.30.246.194/live/cctv12.m3u8
CCTV-12,http://114.241.250.59:4022/rtp/239.3.1.64:8124
CCTV-12,http://115.58.216.71:4000/rtp/225.1.4.79:1108
CCTV-12,http://180.105.201.170:9981/rtp/239.49.8.55:9822
CCTV-12,http://180.105.201.170:9981/rtp/239.49.8.135:6000
CCTV-12,http://113.119.24.25:58888/udp/239.77.0.136:5146
CCTV-12,http://115.171.216.188:4000/rtp/225.1.8.12:8124
CCTV-12,http://27.184.29.38:12312/rtp/239.254.200.161:6000
CCTV-12,http://114.100.195.156:4022/rtp/238.1.78.242:7808
CCTV-13,http://114.241.250.59:4022/rtp/239.3.1.124:8128
CCTV-13,http://183.236.43.98:4013/udp/239.253.43.196:5146
CCTV-13,http://115.58.216.71:4000/rtp/225.1.4.113:1293
CCTV-13,http://27.184.29.38:12312/rtp/239.254.200.9:8264
CCTV-13,http://114.100.195.156:4022/rtp/238.1.79.35:4392
CCTV-13,http://113.119.24.25:58888/udp/239.253.43.196:5146
CCTV-13,http://144.255.16.69:6688/udp/239.21.2.3:5002
CCTV-13,http://38.75.136.137:98/gslb/dsdqca/cctv13hd.m3u8?auth=test20251009
CCTV-13,http://115.171.80.52:1688/rtp/225.1.8.168:8130
CCTV-13,http://115.171.216.84:4000/rtp/225.1.8.168:8130
CCTV-14,http://114.241.250.59:4022/rtp/239.3.1.65:8132
CCTV-14,http://115.58.216.71:4000/rtp/225.1.4.80:1109
CCTV-14,http://180.105.201.170:9981/rtp/239.49.8.136:6000
CCTV-14,http://115.171.216.188:4000/rtp/225.1.8.14:8132
CCTV-14,http://113.119.24.25:58888/udp/239.77.1.161:5146
CCTV-14,http://27.184.29.38:12312/rtp/239.254.200.162:6000
CCTV-14,http://27.191.200.180:19999/rtp/239.254.200.162:6000
CCTV-14,http://180.105.201.170:9981/rtp/239.49.8.56:9826
CCTV-14,http://115.171.80.52:1688/rtp/225.1.8.14:8132
CCTV-14,http://27.41.245.32:801/hls/14/index.m3u8
CCTV-15,http://yp.qqqtv.top/1/api.php?id=CCTV-15HD&auth=666858
CCTV-15,http://114.241.250.59:4022/rtp/239.3.1.153:8136
CCTV-15,http://27.191.200.180:19999/rtp/239.254.201.124:8136
CCTV-15,http://113.119.24.25:58888/udp/239.77.1.239:5146
CCTV-15,http://115.171.80.52:1688/rtp/225.1.8.74:8136
CCTV-15,http://220.176.218.76:9000/udp/239.252.219.79:5140
CCTV-15,http://222.82.206.96:8188/udp/238.125.4.84:5140
CCTV-15,http://114.100.195.156:4022/rtp/238.1.78.222:7648
CCTV-15,http://180.105.201.170:9981/rtp/239.49.1.15:6000
CCTV-15,http://58.48.104.165:4022/rtp/239.69.1.155:10566
CCTV-16,http://69.30.246.194/live/cctv16.m3u8
CCTV-16,http://114.241.250.59:4022/rtp/239.3.1.184:8001
CCTV-16,http://113.119.24.25:58888/udp/239.77.0.165:5146
CCTV-16,http://222.82.206.96:8188/udp/238.125.5.34:5140
CCTV-16,http://220.176.218.76:9000/udp/239.252.220.237:5140
CCTV-16,http://drive.mxmy.net:8888/udp/239.3.1.184:8001
CCTV-16,http://58.48.104.165:4022/rtp/239.69.1.247:11124
CCTV-17,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
CCTV-17,http://yp.qqqtv.top/1/api.php?id=CCTV-17HD&auth=666858
CCTV-17,http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009
CCTV-17,http://114.241.250.59:4022/rtp/239.3.1.151:8144
CCTV-17,http://115.171.216.84:4000/rtp/225.1.8.17:8144
CCTV-17,http://115.58.216.71:4000/rtp/225.1.4.226:2506
CCTV-17,http://180.105.201.170:9981/rtp/239.49.8.52:9810
CCTV-17,http://180.105.201.170:9981/rtp/239.49.8.132:6000
CCTV-17,http://113.119.24.25:58888/udp/239.77.1.121:5146
CCTV-17,http://27.191.200.180:19999/rtp/239.254.201.120:8144

📡卫视频道,#genre#
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
安徽卫视,http://23.237.228.134/live8/anhui.m3u8
安徽卫视,http://114.241.250.59:4022/rtp/239.3.1.211:8064
安徽卫视,http://183.236.43.98:4013/udp/239.77.1.92:5146
安徽卫视,http://115.58.216.71:4000/rtp/225.1.4.87:1116
安徽卫视,http://180.105.201.170:9981/rtp/239.49.8.204:6000
安徽卫视,http://27.184.29.38:12312/rtp/239.254.200.163:6000
安徽卫视,http://113.119.24.25:58888/udp/239.77.1.92:5146
安徽卫视,http://115.171.216.84:4000/udp/225.1.8.52:8064
安徽卫视,http://114.100.195.156:4022/rtp/238.1.79.27:4328
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://38.75.136.137:98/gslb/dsdqbv/bjwshd.m3u8?auth=test20251009
北京卫视,http://23.237.228.134/live3/beijing.m3u8
北京卫视,http://180.105.201.170:9981/rtp/239.49.8.141:6000
北京卫视,http://113.119.24.25:58888/udp/239.77.1.151:5146
北京卫视,http://114.241.250.59:4022/rtp/239.3.1.241:8000
北京卫视,http://180.105.201.170:9981/rtp/239.49.8.11:9414
北京卫视,http://113.119.24.25:58888/udp/239.77.1.4:5146
北京卫视,http://27.191.200.180:19999/rtp/239.254.200.47:8024
北京卫视,http://222.82.206.96:8188/udp/238.125.5.3:5140
东方卫视,http://38.75.136.137:98/gslb/dsdqca/dfwshd.m3u8?auth=test20251009
东方卫视,http://yp.qqqtv.top/1/api.php?id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86HD&auth=666858
东方卫视,http://69.30.246.194/live/dfws.m3u8
东方卫视,http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009
东方卫视,http://23.237.228.134/live3/dongfang.m3u8
东方卫视,http://23.237.228.134/live6/dongnan.m3u8
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
东方卫视,http://114.241.250.59:4022/rtp/239.3.1.136:8032
东方卫视,http://180.105.201.170:9981/rtp/239.49.8.140:6000
东方卫视,http://180.105.201.170:9981/rtp/239.49.8.17:9606
东南卫视,http://38.75.136.137:98/gslb/dsdqca/dnwshd.m3u8?auth=test20251009
东南卫视,http://23.237.228.134/live8/gansu.m3u8
东南卫视,http://114.241.250.59:4022/rtp/239.3.1.156:8148
东南卫视,http://113.119.24.25:58888/udp/239.77.1.104:5146
东南卫视,http://27.191.200.180:19999/rtp/239.254.201.13:6291
东南卫视,http://222.82.206.96:8188/udp/238.125.5.49:5140
东南卫视,http://115.171.80.52:1688/udp/225.1.8.79:8148
东南卫视,http://144.255.16.69:6688/udp/239.21.1.113:5002
东南卫视,http://180.105.201.170:9981/rtp/239.49.1.45:6000
东南卫视,http://114.100.195.156:4022/rtp/238.1.78.22:6104
甘肃卫视,http://38.75.136.137:98/gslb/dsdqpub/gswshd.m3u8?auth=testpub
甘肃卫视,http://113.119.24.25:58888/udp/239.77.0.189:5146
