🕘️更新时间,26/01/09-18:32:11

📺央视频道,#genre#
CCTV-9,http://114.100.195.156:4022/rtp/238.1.78.240:7792
CCTV-9,http://115.58.216.71:4000/rtp/225.1.4.77:1106
CCTV-9,http://183.236.43.98:4013/udp/239.77.0.135:5146
CCTV-9,http://115.171.216.84:4000/rtp/225.1.8.9:8112
CCTV-9,http://27.184.29.38:12312/rtp/239.254.200.59:8112
CCTV-9,http://114.254.34.19:18888/rtp/239.3.1.62:8112
CCTV-9,http://144.255.16.69:6688/udp/239.21.1.153:5002
CCTV-9,http://111.162.204.145:8686/rtp/225.1.1.119:5002
CCTV-10,http://38.75.136.137:98/gslb/dsdqca/cctv10hd.m3u8?auth=test20251009
CCTV-10,http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub
CCTV-10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-10,http://yp.qqqtv.top/1/api.php?id=CCTV-10HD&auth=666858
CCTV-10,http://121.29.141.237:4022/rtp/239.253.92.196:6061
CCTV-10,http://183.236.43.98:4013/udp/239.77.0.134:5146
CCTV-10,http://115.171.216.84:4000/rtp/225.1.8.10:8116
CCTV-10,http://27.184.29.38:12312/rtp/239.254.200.160:6000
CCTV-10,http://144.255.16.69:6688/udp/239.21.1.155:5002
CCTV-10,http://114.254.34.19:18888/rtp/239.3.1.63:8116
CCTV-11,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub
CCTV-11,http://38.75.136.137:98/gslb/dsdqca/cctv11hd.m3u8?auth=test20251009
CCTV-11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV-11,http://121.29.141.237:4022/rtp/239.253.93.153:6321
CCTV-11,http://111.162.204.145:8686/rtp/225.1.2.192:5002
CCTV-11,http://115.58.216.71:4000/rtp/225.1.4.215:1268
CCTV-11,http://144.255.16.69:6688/udp/239.21.2.2:5002
CCTV-11,http://114.100.195.156:4022/rtp/238.1.78.206:7502
CCTV-11,http://114.254.34.19:18888/rtp/239.3.1.152:8120
CCTV-11,http://118.180.142.247:65535/udp/239.255.30.62:8231
CCTV-12,http://38.75.136.137:98/gslb/dsdqca/cctv12hd.m3u8?auth=test20251009
CCTV-12,http://121.29.141.237:4022/rtp/239.253.92.197:6062
CCTV-12,http://115.58.216.71:4000/rtp/225.1.4.79:1108
CCTV-12,http://115.171.216.84:4000/rtp/225.1.8.12:8124
CCTV-12,http://27.184.29.38:12312/rtp/239.254.200.161:6000
CCTV-12,http://114.100.195.156:4022/rtp/238.1.78.242:7808
CCTV-12,http://115.171.80.52:1688/rtp/225.1.8.12:8124
CCTV-12,http://114.254.34.19:18888/rtp/239.3.1.64:8124
CCTV-12,http://118.180.142.247:65535/udp/239.255.30.182:8231
CCTV-12,http://220.176.218.76:9000/udp/239.252.220.187:5140
CCTV-13,http://38.75.136.137:98/gslb/dsdqca/cctv13hd.m3u8?auth=test20251009
CCTV-13,http://121.29.141.237:4022/rtp/239.253.92.13:8008
CCTV-13,http://183.236.43.98:4013/udp/239.253.43.196:5146
CCTV-13,http://115.58.216.71:4000/rtp/225.1.4.113:1293
CCTV-13,http://27.184.29.38:12312/rtp/239.254.200.9:8264
CCTV-13,http://111.162.204.145:8686/rtp/225.1.2.193:5002
CCTV-13,http://114.100.195.156:4022/rtp/238.1.79.35:4392
CCTV-13,http://115.171.216.84:4000/rtp/225.1.8.168:8130
CCTV-13,http://115.171.80.52:1688/rtp/225.1.8.168:8130
CCTV-13,http://114.254.34.19:18888/rtp/239.3.1.124:8128
CCTV-14,http://27.41.245.32:801/hls/14/index.m3u8
CCTV-14,http://111.162.204.145:8686/rtp/225.1.1.144:5002
CCTV-14,http://121.29.141.237:4022/rtp/239.253.92.198:6063
CCTV-14,http://27.184.29.38:12312/rtp/239.254.200.162:6000
CCTV-14,http://115.58.216.71:4000/rtp/225.1.4.80:1109
CCTV-14,http://115.171.80.52:1688/rtp/225.1.8.14:8132
CCTV-14,http://118.180.142.247:65535/udp/239.255.30.183:8231
CCTV-14,http://58.48.104.165:4022/rtp/239.69.1.107:10280
CCTV-14,http://106.59.2.187:55555/udp/239.200.200.109:8132
CCTV-14,http://183.236.43.98:4013/udp/239.77.1.161:5146
CCTV-15,http://yp.qqqtv.top/1/api.php?id=CCTV-15HD&auth=666858
CCTV-15,http://111.162.204.145:8686/rtp/225.1.2.194:5002
CCTV-15,http://115.171.216.84:4000/rtp/225.1.8.74:8136
CCTV-15,http://114.100.195.156:4022/rtp/238.1.78.222:7648
CCTV-15,http://115.58.216.71:4000/rtp/225.1.4.216:1269
CCTV-15,http://121.29.141.237:4022/rtp/239.253.93.154:6322
CCTV-15,http://115.171.80.52:1688/rtp/225.1.8.74:8136
CCTV-15,http://144.255.16.69:6688/udp/239.21.2.4:5002
CCTV-15,http://118.180.142.247:65535/udp/239.255.30.68:8231
CCTV-15,http://183.236.43.98:4013/udp/239.77.1.239:5146
CCTV-16,http://114.254.34.19:18888/rtp/239.3.1.184:8001
CCTV-16,http://118.180.142.247:65535/udp/239.255.30.88:8231
CCTV-16,http://220.176.218.76:9000/udp/239.252.220.237:5140
CCTV-16,http://69.30.246.194/live/cctv16.m3u8
CCTV-16,http://drive.mxmy.net:8888/udp/239.3.1.184:8001
CCTV-16,http://58.48.104.165:4022/rtp/239.69.1.247:11124
CCTV-16,https://hls-gateway.vpstv.net/streams/709089.m3u8
CCTV-16,https://iptv.catvod.com/live.php?id=CCTV-16
CCTV-16,http://lu.wqwqwq.sbs/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-16,https://yunmei.tv/main/cctv-16.m3u8
CCTV-17,http://yp.qqqtv.top/1/api.php?id=CCTV-17HD&auth=666858
CCTV-17,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
CCTV-17,http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009
CCTV-17,http://115.171.216.84:4000/rtp/225.1.8.17:8144
CCTV-17,http://115.58.216.71:4000/rtp/225.1.4.226:2506
CCTV-17,http://121.29.141.237:4022/rtp/239.253.93.150:6318
CCTV-17,http://27.184.29.38:12312/rtp/239.254.201.120:8144
CCTV-17,http://114.254.34.19:18888/rtp/239.3.1.151:8144
CCTV-17,http://144.255.16.69:6688/udp/239.21.1.186:5002
CCTV-17,http://220.176.218.76:9000/udp/239.252.220.192:5140

📡卫视频道,#genre#
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
安徽卫视,http://23.237.228.134/live8/anhui.m3u8
安徽卫视,http://111.162.204.145:8686/rtp/225.1.1.127:5002
安徽卫视,http://121.29.141.237:4022/rtp/239.253.92.209:6566
安徽卫视,http://114.100.195.156:4022/rtp/238.1.79.27:4328
安徽卫视,http://183.236.43.98:4013/udp/239.77.1.92:5146
安徽卫视,http://115.171.216.84:4000/udp/225.1.8.52:8064
安徽卫视,http://27.184.29.38:12312/rtp/239.254.200.163:6000
安徽卫视,http://115.58.216.71:4000/rtp/225.1.4.87:1116
安徽卫视,http://115.171.80.52:1688/udp/225.1.8.52:8064
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://121.29.141.237:4022/rtp/239.253.92.87:8014
北京卫视,http://183.236.43.98:4013/udp/239.77.1.151:5146
北京卫视,http://114.100.195.156:4022/rtp/238.1.78.162:7168
北京卫视,http://183.236.43.98:4013/udp/239.77.1.4:5146
北京卫视,http://114.254.34.19:18888/rtp/239.3.1.241:8000
北京卫视,http://115.171.80.52:1688/rtp/225.1.8.21:8002
北京卫视,http://144.255.16.69:6688/udp/239.21.1.88:5002
北京卫视,http://220.176.218.76:9000/udp/239.252.219.206:5140
北京卫视,http://115.58.216.71:4000/rtp/225.1.4.81:1110
东方卫视,http://38.75.136.137:98/gslb/dsdqca/dfwshd.m3u8?auth=test20251009
东方卫视,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
东方卫视,http://yp.qqqtv.top/1/api.php?id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86HD&auth=666858
东方卫视,http://69.30.246.194/live/dfws.m3u8
东方卫视,http://23.237.228.134/live6/dongnan.m3u8
东方卫视,http://111.162.204.145:8686/rtp/225.1.2.31:5002
东方卫视,http://121.29.141.237:4022/rtp/239.253.92.89:8019
东方卫视,http://27.184.29.38:12312/rtp/239.254.200.52:8032
东方卫视,http://115.58.216.71:4000/rtp/225.1.4.85:1114
东方卫视,http://115.171.80.52:1688/udp/225.1.8.45:8032
东南卫视,http://38.75.136.137:98/gslb/dsdqca/dnwshd.m3u8?auth=test20251009
东南卫视,http://23.237.228.134/live8/gansu.m3u8
东南卫视,http://115.58.216.71:4000/rtp/225.1.4.228:1274
东南卫视,http://121.29.141.237:4022/rtp/239.253.92.201:6146
东南卫视,http://115.171.216.84:4000/udp/225.1.8.79:8148
东南卫视,http://114.254.34.19:18888/rtp/239.3.1.156:8148
东南卫视,http://114.100.195.156:4022/rtp/238.1.78.22:6104
东南卫视,http://144.255.16.69:6688/udp/239.21.1.113:5002
东南卫视,http://115.171.80.52:1688/udp/225.1.8.79:8148
东南卫视,http://106.59.2.187:55555/udp/239.200.201.69:8764
甘肃卫视,http://38.75.136.137:98/gslb/dsdqpub/gswshd.m3u8?auth=testpub
甘肃卫视,http://115.58.216.71:4000/rtp/225.1.4.42:1071
甘肃卫视,http://183.236.43.98:4013/udp/239.77.0.189:5146
甘肃卫视,http://144.255.16.69:6688/udp/239.21.2.22:5002
甘肃卫视,http://114.100.195.156:4022/rtp/238.1.79.36:4400
甘肃卫视,http://118.180.142.247:65535/udp/239.255.30.249:8231
甘肃卫视,http://106.59.2.187:55555/udp/239.200.200.186:8356
甘肃卫视,https://iptv.catvod.com/live.php?id=%E7%94%98%E8%82%83%E5%8D%AB%E8%A7%86%E5%8F%B0
甘肃卫视,https://hls.gstv.com.cn/49048r/6e1sy2.m3u8
甘肃卫视,https://zby.130519.xyz/PLTV/11/224/3221226090/index.m3u8
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub
广东卫视,http://23.237.228.134/live6/guangdong.m3u8
广东卫视,http://111.162.204.145:8686/rtp/225.1.1.116:5002
广东卫视,http://121.29.141.237:4022/rtp/239.253.92.206:8108
广东卫视,http://114.100.195.156:4022/rtp/238.1.78.161:7160
广东卫视,http://144.255.16.69:6688/udp/239.21.1.92:5002
广东卫视,http://223.198.243.134:4000/rtp/239.253.64.200:5140
广东卫视,http://118.180.142.247:65535/udp/239.255.30.134:8231
广东卫视,http://115.171.80.52:1688/udp/225.1.8.49:8048
广东卫视,http://220.176.218.76:9000/udp/239.252.219.213:5140
广西卫视,http://23.237.228.134/live6/guizhou.m3u8
广西卫视,http://23.237.228.134/live6/guangxi.m3u8
广西卫视,http://38.75.136.137:98/gslb/dsdqca/gxwshd.m3u8?auth=test20251009
广西卫视,http://111.162.204.145:8686/rtp/225.1.2.81:5002
广西卫视,http://121.29.141.237:4022/rtp/239.253.92.76:8043
广西卫视,http://115.58.216.71:4000/rtp/225.1.4.31:1060
广西卫视,http://118.180.142.247:65535/udp/239.255.29.4:8231
广西卫视,http://220.176.218.76:9000/udp/239.252.219.183:5140
广西卫视,http://27.184.29.38:12312/rtp/239.254.200.80:8300
广西卫视,http://58.48.104.165:4022/rtp/239.69.1.191:10788
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
贵州卫视,http://23.237.228.134/live6/hainan.m3u8
贵州卫视,http://111.162.204.145:8686/rtp/225.1.2.28:5002
贵州卫视,http://114.100.195.156:4022/rtp/238.1.78.244:7824
贵州卫视,http://115.58.216.71:4000/rtp/225.1.4.122:1302
贵州卫视,http://183.236.43.98:4013/udp/239.77.1.221:5146
贵州卫视,http://27.184.29.38:12312/rtp/239.254.201.20:6315
贵州卫视,http://121.29.141.237:4022/rtp/239.253.92.105:6055
贵州卫视,http://115.171.216.84:4000/udp/225.1.8.77:8076
贵州卫视,http://114.254.34.19:18888/rtp/239.3.1.149:8076
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
海南卫视,http://yp.qqqtv.top/1/api.php?id=%E6%B5%B7%E5%8D%97%E5%8D%AB%E8%A7%86HD&auth=666858
海南卫视,http://111.162.204.145:8686/rtp/225.1.2.82:5002
海南卫视,http://115.58.216.71:4000/rtp/225.1.4.195:1310
海南卫视,http://121.29.141.237:4022/rtp/239.253.93.155:6323
海南卫视,http://27.184.29.38:12312/rtp/239.254.201.125:6288
海南卫视,http://144.255.16.69:6688/udp/239.21.2.14:5002
海南卫视,http://118.180.142.247:65535/udp/239.255.30.99:8231
海南卫视,http://220.176.218.76:9000/udp/239.252.219.178:5140
海南卫视,http://106.59.2.187:55555/udp/239.200.201.159:8408
河北卫视,http://38.75.136.137:98/gslb/dsdqpub/hewshd.m3u8?auth=testpub
河北卫视,http://23.237.228.134/live8/hebei.m3u8
河北卫视,http://115.58.216.71:4000/rtp/225.1.4.123:1304
河北卫视,http://115.171.216.84:4000/udp/225.1.8.76:8002
河北卫视,http://27.184.29.38:12312/rtp/239.254.200.174:6000
河北卫视,http://121.29.141.237:4022/rtp/239.253.92.154:6011
河北卫视,http://118.180.142.247:65535/udp/239.255.30.85:8231
河北卫视,http://115.171.80.52:1688/udp/225.1.8.76:8002
河北卫视,http://144.255.16.69:6688/udp/239.21.1.168:5002
河北卫视,http://220.176.218.76:9000/udp/239.252.220.154:5140
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://23.237.228.134/live6/henan.m3u8
河南卫视,http://111.162.204.145:8686/rtp/225.1.2.61:5002
河南卫视,http://121.29.141.237:4022/rtp/239.253.92.137:6144
河南卫视,http://115.58.216.71:4000/rtp/225.1.4.98:1127
河南卫视,http://114.100.195.156:4022/rtp/238.1.79.65:4632
河南卫视,http://27.184.29.38:12312/rtp/239.254.201.16:7174
河南卫视,http://144.255.16.69:6688/udp/239.21.2.37:5002
河南卫视,http://115.58.216.71:4000/rtp/225.1.4.254:1300
河南卫视,http://220.176.218.76:9000/udp/239.252.220.189:5140
湖北卫视,http://38.75.136.137:98/gslb/dsdqca/hbwshd.m3u8?auth=test20251009
湖北卫视,http://yp.qqqtv.top/1/api.php?id=%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86HD&auth=666858
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
湖北卫视,http://23.237.228.134/live6/hubei.m3u8
湖北卫视,http://111.162.204.145:8686/rtp/225.1.1.147:5002
湖北卫视,http://121.29.141.237:4022/rtp/239.253.92.210:6567
湖北卫视,http://114.100.195.156:4022/rtp/238.1.78.168:7216
湖北卫视,http://115.58.216.71:4000/rtp/225.1.4.89:1118
湖北卫视,http://115.171.216.84:4000/udp/225.1.8.47:8044
湖北卫视,http://115.171.80.52:1688/udp/225.1.8.47:8044
